Type,Graph,AUC
bio,arenas-meta,37.72810890360559
bio,dimacs10-celegansneural,70.43434343434342
bio,foodweb-baydry,45.0546875
bio,foodweb-baywet,45.06770833333333
bio,maayan-Stelzl,61.42516608050019
bio,maayan-figeys,63.69435760011909
bio,maayan-foodweb,31.974499089253186
bio,maayan-vidal,160.95797425258007
bio,moreno_propro,38.06559714795009
information,cit-HepPh,8705.117727088518
information,citeseer,44994.3095030605
information,com-amazon,31760.86059074905
information,com-dblp,20607.276217095576
information,dblp-cite,1055.6191327138433
information,dimacs10-polblogs,210.74564270152501
information,econ-wm1,40.1051282051282
information,linux,1316.4520219217172
information,p2p-Gnutella06,1475.6315246070892
information,p2p-Gnutella31,6413.643852725316
information,subelj_jdk_jdk,260.1787120505647
information,subelj_jung-j_jung-j,231.7571759259259
information,web-EPA,133.0583782096308
information,web-Stanford,5295.3794969664505
social,advogato,516.6663735535506
social,douban,3361.1767888036766
social,ego-twitter,174.33036300099843
social,hyves,32121.52078757249
social,librec-ciaodvd-trust,318.07877128953766
social,librec-filmtrust-trust,21.373760488176963
social,loc-brightkite,4255.153345469533
social,loc-gowalla,20730.61855917446
social,munmun_digg_reply_LCC,2475.381121003642
social,munmun_twitter_social,900.0364250124188
social,opsahl-ucsocial,254.18983675618747
social,pajek-erdos,121.93063375198501
social,petster-hamster,239.41532701291564
social,slashdot-threads,1621.362790295532
social,slashdot-zoo,5260.684425400676
social,soc-Epinions1,3877.408821940194
tech,eu-powergrid,13.96398545785049
tech,gridkit-eupowergrid,240.2832394298372
tech,gridkit-north_america,344.9122183047772
tech,internet-topology,429.20299569440846
tech,london_transport_multiplex_aggr,14.275293586269198
tech,opsahl-openflights,170.1106952478167
tech,roads-california,237.1497371088306
tech,roads-sanfrancisco,4363.996479114749
tech,tech-RL-caida,11158.229211407579
